Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,Returns,RSI_14,Decision,Signal
2025-07-31,319.6099853515625,321.3699951171875,306.1000061035156,308.2699890136719,85270900,0.0,0.0,315.669499206543,323.8215985107422,-0.03375758288237862,47.456301359513255,SELL,-1
2025-08-01,306.2099914550781,309.3099975585937,297.82000732421875,302.6300048828125,89121400,0.0,0.0,315.0334991455078,322.99779846191404,-0.01829559909125389,43.22090979760399,SELL,-1
2025-08-04,309.0799865722656,312.1199951171875,303.0,309.260009765625,78683900,0.0,0.0,315.79949951171875,322.4905987548828,0.021907956170373222,49.281397298260444,SELL,-1
2025-08-05,308.95001220703125,312.45001220703125,305.5,308.7200012207031,57961300,0.0,0.0,316.3449996948242,321.8441986083984,-0.0017461311772288823,43.21349566721553,SELL,-1
2025-08-06,307.8900146484375,320.4700012207031,306.92999267578125,319.9100036621094,78523600,0.0,0.0,317.54649963378904,321.4555987548828,0.03624644466558724,50.23960124176152,SELL,-1
2025-08-07,319.7900085449219,322.3999938964844,316.1600036621094,322.2699890136719,66658700,0.0,0.0,318.16649932861327,320.6431982421875,0.007377028928595486,46.17457847723457,SELL,-1
2025-08-08,321.42999267578125,335.1499938964844,320.9800109863281,329.6499938964844,91200300,0.0,0.0,318.97349853515624,320.0981982421875,0.02290006868278205,50.56486336194381,SELL,-1
2025-08-11,335.0,346.6400146484375,334.1499938964844,339.0299987792969,105320200,0.0,0.0,320.0799987792969,319.7101983642578,0.02845443669493286,53.190709758614595,BUY,1
2025-08-12,345.0,345.260009765625,332.94000244140625,340.8399963378906,80522100,0.0,0.0,321.58299865722654,319.59779846191407,0.005338753399730889,53.77049061862569,BUY,1
2025-08-13,341.5,348.9800109863281,338.20001220703125,339.3800048828125,67838900,0.0,0.0,322.46849822998047,319.5315985107422,-0.004283509772223915,70.28572445824032,SELL,-1
2025-08-14,335.760009765625,340.4700012207031,330.3999938964844,335.5799865722656,75000700,0.0,0.0,323.2769973754883,319.35779846191406,-0.011196942235471519,62.66873497443205,BUY,1
2025-08-15,337.6600036621094,339.29998779296875,327.0199890136719,330.5599975585937,74319800,0.0,0.0,323.32249755859374,319.32799865722654,-0.0149591430196655,53.42616938118694,BUY,1
2025-08-18,329.6199951171875,336.2699890136719,329.5899963378906,335.1600036621094,56956600,0.0,0.0,323.65599822998047,320.33719848632813,0.013915797850586165,59.595812120182316,BUY,1
2025-08-19,335.7900085449219,340.54998779296875,327.8500061035156,329.3099975585937,75956000,0.0,0.0,323.51599884033203,321.0205981445313,-0.017454368181154867,56.71855678212335,BUY,1
2025-08-20,329.2200012207031,331.3699951171875,314.6000061035156,323.8999938964844,77481800,0.0,0.0,323.08299865722654,321.3269982910156,-0.016428300696053832,60.9962032306462,BUY,1
2025-08-21,322.0799865722656,324.8999938964844,318.67999267578125,320.1099853515625,55744400,0.0,0.0,323.82349853515626,321.20739807128905,-0.011701168929731831,62.626388654978676,BUY,1
2025-08-22,321.6600036621094,340.25,319.69000244140625,340.010009765625,94016300,0.0,0.0,325.0209991455078,321.47899841308595,0.062166209505171155,68.63861127902939,BUY,1
2025-08-25,338.8999938964844,349.5299987792969,335.0299987792969,346.6000061035156,86670000,0.0,0.0,326.0714996337891,322.028798828125,0.019381771561470362,71.3914548061545,SELL,-1
2025-08-26,344.92999267578125,351.8999938964844,343.7200012207031,351.6700134277344,76651600,0.0,0.0,327.5949996948242,322.5559991455078,0.01462783391499567,69.26716381436196,BUY,1
2025-08-27,351.94000244140625,355.3900146484375,349.1600036621094,349.6000061035156,65519000,0.0,0.0,329.1229995727539,322.96539916992185,-0.0058862207330171445,66.63825347293697,BUY,1
2025-08-28,350.9100036621094,353.54998779296875,340.260009765625,345.9800109863281,67903200,0.0,0.0,331.00850067138674,323.5579992675781,-0.010354676927882056,60.418530936165055,BUY,1
2025-08-29,347.2300109863281,348.75,331.70001220703125,333.8699951171875,81145700,0.0,0.0,332.5705001831055,323.7943994140625,-0.03500206799409333,46.81874266929622,BUY,1
2025-09-02,328.2300109863281,333.3299865722656,325.6000061035156,329.3599853515625,58392000,0.0,0.0,333.5754989624023,323.9383990478516,-0.01350828116207925,43.15035792569523,BUY,1
2025-09-03,335.20001220703125,343.3299865722656,328.510009765625,334.0899963378906,88733300,0.0,0.0,334.84399871826173,323.64659912109374,0.014361219324440011,46.962212853118686,BUY,1
2025-09-04,336.1499938964844,338.8900146484375,331.4800109863281,338.5299987792969,60711000,0.0,0.0,335.7749984741211,323.6077990722656,0.01328983953448204,51.68168362511326,BUY,1
2025-09-05,348.0,355.8699951171875,344.67999267578125,350.8399963378906,108989800,0.0,0.0,337.20349884033203,324.07359924316404,0.036363092201525005,60.67367328169338,BUY,1
2025-09-08,354.6400146484375,358.44000244140625,344.8399963378906,346.3999938964844,75208300,0.0,0.0,338.040998840332,324.48599914550783,-0.01265534855703887,55.92575907739436,BUY,1
2025-09-09,348.44000244140625,350.7699890136719,343.82000732421875,346.9700012207031,53816000,0.0,0.0,338.43799896240233,324.95279907226563,0.001645517708609212,59.85930442753194,BUY,1
2025-09-10,350.54998779296875,356.3299865722656,346.07000732421875,347.7900085449219,72121700,0.0,0.0,338.7854995727539,325.5553991699219,0.0023633378140295314,64.05789606005101,BUY,1
2025-09-11,350.1700134277344,368.989990234375,347.6000061035156,368.80999755859375,103756000,0.0,0.0,340.25699920654296,326.9173992919922,0.06043873744853956,73.82582059976852,SELL,-1
2025-09-12,370.9400024414063,396.6900024414063,370.239990234375,395.9400024414063,168156400,0.0,0.0,343.275,328.5231994628906,0.0735609258490948,75.55513352096212,SELL,-1
2025-09-15,423.1300048828125,425.7000122070313,402.4299926757813,410.0400085449219,163823700,0.0,0.0,347.2490005493164,330.41699951171876,0.03561147147692445,77.12500769854682,SELL,-1
2025-09-16,414.5,423.25,411.4299926757813,421.6199951171875,104285700,0.0,0.0,351.57200012207034,332.97059936523436,0.028241113869250656,78.3312910006425,SELL,-1
2025-09-17,415.75,428.30999755859375,409.6700134277344,425.8599853515625,106133500,0.0,0.0,356.3994995117188,335.53159912109373,0.01005642588937583,80.35343244944448,SELL,-1
2025-09-18,428.8699951171875,432.2200012207031,416.55999755859375,416.8500061035156,90454500,0.0,0.0,361.0470001220703,337.9509991455078,-0.021157139806429193,77.0475497421811,SELL,-1
2025-09-19,421.8200073242188,429.4700012207031,421.7200012207031,426.0700073242188,93131000,0.0,0.0,366.3450012207031,340.2749993896484,0.022118270566640286,85.98189811149254,SELL,-1
2025-09-22,431.1099853515625,444.9800109863281,429.1300048828125,434.2099914550781,97108800,0.0,0.0,371.0550003051758,342.6889990234375,0.01910480435358397,89.7912828805265,SELL,-1
2025-09-23,439.8800048828125,440.9700012207031,423.7200012207031,425.8500061035156,83422700,0.0,0.0,375.01750030517576,344.8679992675781,-0.019253323313789705,83.88980936086183,SELL,-1
2025-09-24,429.8299865722656,444.2099914550781,429.0299987792969,442.7900085449219,93133600,0.0,0.0,379.57350006103513,347.5081994628906,0.03977927016229388,85.25157200256722,SELL,-1
2025-09-25,435.239990234375,435.3500061035156,419.0799865722656,423.3900146484375,96746400,0.0,0.0,383.26300048828125,349.5425994873047,-0.04381307961359793,73.40777128250875,SELL,-1
2025-09-26,428.2999877929688,440.4700012207031,421.0199890136719,440.3999938964844,101628200,0.0,0.0,387.98399963378904,351.9623992919922,0.0401756741055197,78.05301616700194,SELL,-1
2025-09-29,444.3500061035156,450.9800109863281,439.5,443.2099914550781,79491500,0.0,0.0,393.4509994506836,354.23359924316406,0.00638055766924972,78.34257357260412,SELL,-1
2025-09-30,441.5199890136719,445.0,433.1199951171875,444.7200012207031,74358000,0.0,0.0,399.2190002441406,356.5581994628906,0.0034069849388267404,78.43023524344437,SELL,-1
2025-10-01,443.7999877929688,462.2900085449219,440.75,459.4599914550781,98122300,0.0,0.0,405.4875,359.1051995849609,0.033144428390707636,77.60522659578916,SELL,-1
2025-10-02,470.5400085449219,470.75,435.5700073242188,436.0,137009000,0.0,0.0,410.36100006103516,361.17399963378904,-0.051059922281332826,62.47820307396543,BUY,1
2025-10-03,443.2900085449219,446.7699890136719,416.5799865722656,429.8299865722656,133188200,0.0,0.0,414.3104995727539,363.664599609375,-0.014151406944344913,56.48469440203389,BUY,1
2025-10-06,440.75,453.5499877929688,436.6900024414063,453.25,85324900,0.0,0.0,419.6529998779297,366.4083996582031,0.054486690457546505,59.61808004394919,BUY,1
2025-10-07,447.8200073242188,452.6799926757813,432.4500122070313,433.0899963378906,102296100,0.0,0.0,423.95899963378906,368.55839965820314,-0.044478772558432134,52.00443947559499,BUY,1
2025-10-08,437.5700073242188,441.3299865722656,425.2300109863281,438.6900024414063,71192100,0.0,0.0,428.5039993286133,370.90819946289065,0.012930352007361146,56.171583532095475,BUY,1
2025-10-09,431.80999755859375,436.3500061035156,426.1799926757813,435.5400085449219,69339900,0.0,0.0,431.8404998779297,373.23819946289063,-0.007180455170972766,52.771113473012534,BUY,1
2025-10-10,436.5400085449219,443.1300048828125,411.4500122070313,413.489990234375,112107900,0.0,0.0,432.71799926757814,375.3425994873047,-0.05062684914805626,44.3933322444029,BUY,1
2025-10-13,423.5299987792969,436.8900146484375,419.7000122070313,435.8999938964844,79552800,0.0,0.0,434.01099853515626,378.0079992675781,0.054197209585187034,52.52728132805711,BUY,1
2025-10-14,426.7900085449219,434.2000122070313,417.8599853515625,429.239990234375,72669400,0.0,0.0,434.3919982910156,380.4075988769531,-0.015278742269702716,46.406784143550276,BUY,1
2025-10-15,434.8999938964844,440.510009765625,426.3299865722656,435.1499938964844,71558200,0.0,0.0,434.8564987182617,382.93619873046873,0.013768529951932784,53.35884192904673,BUY,1
2025-10-16,434.7300109863281,439.3500061035156,421.30999755859375,428.75,77189900,0.0,0.0,435.4514984130859,385.11299865722657,-0.01470755828163206,46.45789271213701,BUY,1
2025-10-17,425.5,441.4599914550781,423.6000061035156,439.30999755859375,89331600,0.0,0.0,436.1134979248047,387.453798828125,0.02462973191508744,48.86759787199314,BUY,1
2025-10-20,443.8699951171875,449.7999877929688,440.6099853515625,447.4299926757813,63719000,0.0,0.0,436.77449798583984,389.80939880371096,0.018483519979771268,50.75778508740118,BUY,1
2025-10-21,445.760009765625,449.2999877929688,442.0499877929688,442.6000061035156,54412200,0.0,0.0,437.6119979858398,391.8807989501953,-0.010794954856246375,45.00888605254733,BUY,1
2025-10-22,443.4500122070313,445.5400085449219,429.0,438.9700012207031,84023500,0.0,0.0,437.4209976196289,393.84339904785156,-0.008201547294971134,50.99617644957436,BUY,1
2025-10-23,420.0,449.3999938964844,413.8999938964844,448.9800109863281,126709800,0.0,0.0,438.70049743652345,396.0353991699219,0.022803402824313368,56.2618599612498,BUY,1
2025-10-24,446.8299865722656,451.6799926757813,430.1700134277344,433.7200012207031,94727800,0.0,0.0,438.3664978027344,397.9981994628906,-0.03398817183887881,43.253887854301645,BUY,1
2025-10-27,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,0.0,0.0,438.8269989013672,400.4353997802734,0.043115401997602554,56.74506658533758,BUY,1
2025-10-28,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,0.0,0.0,439.61849822998045,402.9431994628906,0.017969970655449474,57.49553705033034,BUY,1
2025-10-29,462.5,465.7000122070313,452.6499938964844,461.510009765625,67983500,0.0,0.0,439.7209991455078,405.58719970703123,0.0020845119924044475,59.040588602623316,BUY,1
2025-10-30,451.0499877929688,455.05999755859375,439.6099853515625,440.1000061035156,72447900,0.0,0.0,439.9259994506836,407.91119995117185,-0.04639120107705208,59.30485069139943,BUY,1
2025-10-31,446.75,458.0,443.6900024414063,456.55999755859375,83135800,0.0,0.0,441.2625,410.6402001953125,0.03740057084027071,57.53794599163973,BUY,1
2025-11-03,455.989990234375,474.0700073242188,453.7999877929688,468.3699951171875,84595200,0.0,0.0,442.01849975585935,413.20739990234375,0.02586735066967427,63.75975955093509,BUY,1
2025-11-04,454.4599914550781,460.2200012207031,443.6000061035156,444.260009765625,87756600,0.0,0.0,442.5770004272461,415.1605999755859,-0.05147636612701911,52.839957843535885,BUY,1
2025-11-05,452.0499877929688,466.3299865722656,440.7099914550781,462.0700073242188,85573000,0.0,0.0,443.7460006713867,417.3685998535156,0.040089130615176716,59.69732528862917,BUY,1
2025-11-06,461.9599914550781,467.4500122070313,435.0899963378906,445.9100036621094,109622900,0.0,0.0,444.2645004272461,419.2947998046875,-0.03497306340156048,51.860204715499265,BUY,1
2025-11-07,437.9200134277344,439.3599853515625,421.8800048828125,429.5199890136719,103471500,0.0,0.0,445.0660003662109,420.96559936523437,-0.03675632866235745,45.176926168241955,BUY,1
2025-11-10,439.6000061035156,449.6700134277344,433.3599853515625,445.2300109863281,76515900,0.0,0.0,445.5325012207031,423.1927996826172,0.03657576451501576,50.66904203242206,BUY,1
2025-11-11,439.3999938964844,442.489990234375,432.3599853515625,439.6199951171875,60533200,0.0,0.0,446.05150146484374,425.3979998779297,-0.01260026442672324,50.16370163215885,BUY,1
2025-11-12,442.1499938964844,442.3299865722656,426.55999755859375,430.6000061035156,58513500,0.0,0.0,445.8240020751953,427.3282000732422,-0.02051769508633805,45.34777734933088,BUY,1
2025-11-13,423.1300048828125,424.5,396.3399963378906,401.989990234375,118948000,0.0,0.0,444.4860015869141,428.59739990234374,-0.06644220962287406,42.47711978027465,BUY,1
2025-11-14,386.2999877929688,412.1900024414063,382.7799987792969,404.3500061035156,105506700,0.0,0.0,442.73800201416014,429.66760009765625,0.005870832424868633,37.64585061433572,BUY,1
2025-11-17,398.739990234375,423.9599914550781,398.739990234375,408.9200134277344,102214300,0.0,0.0,440.8125030517578,430.9180004882812,0.011302107716671506,36.48359802715182,BUY,1
2025-11-18,405.3800048828125,408.8999938964844,393.7099914550781,401.25,80688600,0.0,0.0,438.74500274658203,432.0036004638672,-0.018756757252943457,34.75974015148569,BUY,1
2025-11-19,406.1799926757813,411.7799987792969,398.5,403.989990234375,72047700,0.0,0.0,436.9960021972656,433.1276000976562,0.006828636098130891,39.915096965681336,BUY,1
2025-11-20,414.6300048828125,428.9400024414063,394.739990234375,395.2300109863281,113548800,0.0,0.0,434.3085021972656,433.65600036621095,-0.02168365419886953,32.101800755698605,BUY,1
2025-11-21,402.3200073242188,402.7999877929688,383.760009765625,391.0899963378906,100460600,0.0,0.0,432.177001953125,433.55900024414063,-0.010474950113494086,26.39008669517287,SELL,-1
2025-11-24,402.1700134277344,421.7200012207031,401.0899963378906,417.7799987792969,96806400,0.0,0.0,430.44500122070315,433.71380004882815,0.0682451678419993,42.03561177856043,SELL,-1
2025-11-25,414.4200134277344,420.4800109863281,405.9500122070313,419.3999938964844,71915600,0.0,0.0,428.3875015258789,433.6694000244141,0.0038776272725380423,35.781409242234986,SELL,-1
2025-11-26,423.9500122070313,426.9400024414063,416.8900146484375,426.5799865722656,63463000,0.0,0.0,426.64100036621096,433.6838000488281,0.017119677587676296,43.14878864288891,SELL,-1
2025-11-28,426.5899963378906,432.9299926757813,426.2000122070313,430.1700134277344,36252900,0.0,0.0,426.1445007324219,433.9502001953125,0.008415835173881447,50.2533811513925,SELL,-1
2025-12-01,425.3200073242188,433.6600036621094,425.2900085449219,430.1400146484375,57463600,0.0,0.0,424.82350158691406,434.0316003417969,-6.973703038437584e-05,43.29869941894929,SELL,-1
2025-12-02,430.80999755859375,436.7999877929688,422.1199951171875,429.239990234375,69336600,0.0,0.0,422.86700134277345,433.9322003173828,-0.0020923987153301793,45.18909967541854,SELL,-1
2025-12-03,432.1000061035156,447.9200134277344,431.1099853515625,446.739990234375,87483000,0.0,0.0,422.9910003662109,434.35,0.04076973347810542,56.93536157772313,SELL,-1
2025-12-04,449.9400024414063,454.6300048828125,445.3900146484375,454.5299987792969,71906500,0.0,0.0,422.61399993896487,434.5847998046875,0.017437455153354264,77.49632105976477,SELL,-1
2025-12-05,453.0299987792969,458.8699951171875,451.6600036621094,455.0,56427500,0.0,0.0,423.06849975585936,435.21699951171877,0.0010340378456106247,77.0421592029263,SELL,-1
2025-12-08,447.4500122070313,449.75,435.25,439.5799865722656,69165800,0.0,0.0,423.5714996337891,435.2005993652344,-0.033890139401614006,64.6698350416353,SELL,-1
2025-12-09,437.5400085449219,452.3900146484375,435.7000122070313,445.1700134277344,62367400,0.0,0.0,423.56849975585936,435.2397998046875,0.01271674558948499,71.44111574711249,SELL,-1
2025-12-10,446.0700073242188,456.8800048828125,443.6099853515625,451.4500122070313,63257500,0.0,0.0,424.1600006103516,435.37440002441406,0.01410696720325344,72.39523631231822,SELL,-1
2025-12-11,448.9500122070313,449.2699890136719,440.3299865722656,446.8900146484375,55979500,0.0,0.0,424.97450103759763,435.12300048828126,-0.010100780674035303,75.38323124329915,SELL,-1
2025-12-12,448.0899963378906,463.010009765625,441.6700134277344,458.9599914550781,95656700,0.0,0.0,427.8230010986328,435.5822003173828,0.027008830833098685,80.93716648805169,SELL,-1
2025-12-15,469.4400024414063,481.7699890136719,467.6600036621094,475.30999755859375,114542200,0.0,0.0,431.3710006713867,436.4918005371094,0.035624033484225714,78.95317559222028,SELL,-1
